commit	ece	brier	auroc	collision_rate	status	description
09ce305	0.398731	0.401423	0.309009	0.697595	keep	Baseline (no UQ)
09ce305	0.168154	0.236731	0.568467	0.677493	keep	MC Dropout (N=20)
09ce305	0.178973	0.239804	0.572260	0.680333	keep	MC Dropout (N=50)
09ce305	0.344098	0.313822	0.785531	0.624529	keep	Deep Ensemble (M=3)
09ce305	0.317884	0.294471	0.802233	0.632398	keep	Deep Ensemble (M=5)
09ce305	0.298804	0.287266	0.819290	0.631563	keep	Deep Ensemble (M=7)
09ce305	0.564784	0.585775	0.309009	0.698935	keep	Temperature Scaling
09ce305	0.283416	0.123476	1.000000	0.622465	keep	Conformal (alpha=0.05)
09ce305	0.291731	0.112888	1.000000	0.620333	keep	Conformal (alpha=0.10)
09ce305	0.286822	0.104266	1.000000	0.621165	keep	Conformal (alpha=0.20)
